Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
Beyonder_Mechanic_Manic_Tips_TooltipBody,Text,,,,,"Manic (Afflictive/Compulsive) spells adjust Mania when played. A manic spell with a blue highlight (like Bone Dog) will activate Hysteria or Anxiety triggers. A manic spell with a red glow (like scourge cards) will trigger <b>Insanity</b>. A manic spell with no highlight will not activate triggers.","Manic (Afflictive/Compulsive) spells adjust Mania when played. A manic spell with a blue highlight (like Bone Dog) will activate Hysteria or Anxiety triggers. A manic spell with a red glow (like scourge cards) will trigger <b>Insanity</b>. A manic spell with no highlight will not activate triggers.","Manic (Afflictive/Compulsive) spells adjust Mania when played. A manic spell with a blue highlight (like Bone Dog) will activate Hysteria or Anxiety triggers. A manic spell with a red glow (like scourge cards) will trigger <b>Insanity</b>. A manic spell with no highlight will not activate triggers.","Manic (Afflictive/Compulsive) spells adjust Mania when played. A manic spell with a blue highlight (like Bone Dog) will activate Hysteria or Anxiety triggers. A manic spell with a red glow (like scourge cards) will trigger <b>Insanity</b>. A manic spell with no highlight will not activate triggers.","Manic (Afflictive/Compulsive) spells adjust Mania when played. A manic spell with a blue highlight (like Bone Dog) will activate Hysteria or Anxiety triggers. A manic spell with a red glow (like scourge cards) will trigger <b>Insanity</b>. A manic spell with no highlight will not activate triggers.","Manic (Afflictive/Compulsive) spells adjust Mania when played. A manic spell with a blue highlight (like Bone Dog) will activate Hysteria or Anxiety triggers. A manic spell with a red glow (like scourge cards) will trigger <b>Insanity</b>. A manic spell with no highlight will not activate triggers."
Beyonder_Mechanic_Insanity_TooltipKey,Text,,,,,"Insanity","Insanity","Insanity","Insanity","Insanity","Insanity"
Beyonder_Mechanic_Insanity_TooltipText,Text,,,,,"When Insanity is triggered, friendly units will be debuffed with <b>Panic</b> or <b>Neurosis</b> and the effect of <b>Entropic</b> cards is increased. The default threshold to trigger Insanity is <nobr><b>+3/-3 Mania</b></nobr>.","When Insanity is triggered, friendly units will be debuffed with <b>Panic</b> or <b>Neurosis</b> and the effect of <b>Entropic</b> cards is increased. The default threshold to trigger Insanity is <nobr><b>+3/-3 Mania</b></nobr>.","When Insanity is triggered, friendly units will be debuffed with <b>Panic</b> or <b>Neurosis</b> and the effect of <b>Entropic</b> cards is increased. The default threshold to trigger Insanity is <nobr><b>+3/-3 Mania</b></nobr>.","When Insanity is triggered, friendly units will be debuffed with <b>Panic</b> or <b>Neurosis</b> and the effect of <b>Entropic</b> cards is increased. The default threshold to trigger Insanity is <nobr><b>+3/-3 Mania</b></nobr>.","When Insanity is triggered, friendly units will be debuffed with <b>Panic</b> or <b>Neurosis</b> and the effect of <b>Entropic</b> cards is increased. The default threshold to trigger Insanity is <nobr><b>+3/-3 Mania</b></nobr>.","When Insanity is triggered, friendly units will be debuffed with <b>Panic</b> or <b>Neurosis</b> and the effect of <b>Entropic</b> cards is increased. The default threshold to trigger Insanity is <nobr><b>+3/-3 Mania</b></nobr>."
,,,,,,,,,,,
,,,,,,,,,,,
Trigger_Beyonder_OnHysteria,Text,,,,,"Hysteria","Hysteria","Hysteria","Hysteria","Hysteria","Hysteria"
Trigger_Beyonder_OnHysteria_CardText,Text,,,,,"Hysteria","Hysteria","Hysteria","Hysteria","Hysteria","Hysteria"
Trigger_Beyonder_OnHysteria_TooltipText,Text,,,,,"Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0."
Trigger_Beyonder_OnHysteria_Char_CardText,Text,,,,,"Hysteria","Hysteria","Hysteria","Hysteria","Hysteria","Hysteria"
Trigger_Beyonder_OnHysteria_Char_TooltipText,Text,,,,,"Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0.","Triggers when <b>Mania</b> rises above 0."
Trigger_Beyonder_OnAnxiety,Text,,,,,"Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety"
Trigger_Beyonder_OnAnxiety_CardText,Text,,,,,"Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety"
Trigger_Beyonder_OnAnxiety_TooltipText,Text,,,,,"Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0."
Trigger_Beyonder_OnAnxiety_Char_CardText,Text,,,,,"Anxiety","Anxiety","Anxiety","Anxiety","Anxiety","Anxiety"
Trigger_Beyonder_OnAnxiety_Char_TooltipText,Text,,,,,"Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0.","Triggers when <b>Mania</b> drops below 0."
,,,,,,,,,,,
,,,,,,,,,,,
BeyonderCardTraitAfflictive_CardText,Text,,,,,"Afflictive","Afflictive","Afflictive","Afflictive","Afflictive","Afflictive"
BeyonderCardTraitAfflictive_TooltipTitle,Text,,,,,"Afflictive","Afflictive","Afflictive","Afflictive","Afflictive","Afflictive"
BeyonderCardTraitAfflictive_TooltipText,Text,,,,,"Increase <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by 1 when played. Counts as <b>Manic</b>."
BeyonderCardTraitAfflictive_TooltipText2,Text,,,,,"Increase <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Increase <b>Mania</b> by {0} when played. Counts as <b>Manic</b>."
BeyonderCardTraitCompulsive_CardText,Text,,,,,"Compulsive","Compulsive","Compulsive","Compulsive","Compulsive","Compulsive"
BeyonderCardTraitCompulsive_TooltipTitle,Text,,,,,"Compulsive","Compulsive","Compulsive","Compulsive","Compulsive","Compulsive"
BeyonderCardTraitCompulsive_TooltipText,Text,,,,,"Decrease <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by 1 when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by 1 when played. Counts as <b>Manic</b>."
BeyonderCardTraitCompulsive_TooltipText2,Text,,,,,"Decrease <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by {0} when played. Counts as <b>Manic</b>.","Decrease <b>Mania</b> by {0} when played. Counts as <b>Manic</b>."
BeyonderCardTraitEntropic_CardText,Text,,,,,"Entropic","Entropic","Entropic","Entropic","Entropic","Entropic"
BeyonderCardTraitEntropic_TooltipTitle,Text,,,,,"Entropic","Entropic","Entropic","Entropic","Entropic","Entropic"
BeyonderCardTraitEntropic_TooltipText,Text,,,,,"Multiplies the effect of this card's damage and status effects by {0} when the <b>Insanity</b> threshold of <nobr>{1}/-{1}</nobr> is reached.","Multiplies the effect of this card's damage and status effects by {0} when the <b>Insanity</b> threshold of <nobr>{1}/-{1}</nobr> is reached.","Multiplies the effect of this card's damage and status effects by {0} when the <b>Insanity</b> threshold of <nobr>{1}/-{1}</nobr> is reached.","Multiplies the effect of this card's damage and status effects by {0} when the <b>Insanity</b> threshold of <nobr>{1}/-{1}</nobr> is reached.","Multiplies the effect of this card's damage and status effects by {0} when the <b>Insanity</b> threshold of <nobr>{1}/-{1}</nobr> is reached.","Multiplies the effect of this card's damage and status effects by {0} when the <b>Insanity</b> threshold of <nobr>{1}/-{1}</nobr> is reached."
BeyonderCardTraitEntropic_TooltipText_Lame,Text,,,,,"Multiplies the effect of this card's damage and status effects when the <b>Insanity</b> threshold is reached.","Multiplies the effect of this card's damage and status effects when the <b>Insanity</b> threshold is reached.","Multiplies the effect of this card's damage and status effects when the <b>Insanity</b> threshold is reached.","Multiplies the effect of this card's damage and status effects when the <b>Insanity</b> threshold is reached.","Multiplies the effect of this card's damage and status effects when the <b>Insanity</b> threshold is reached.","Multiplies the effect of this card's damage and status effects when the <b>Insanity</b> threshold is reached."
BeyonderCardTraitStalkerState_CardText,Text,,,,,"Stalker","Stalker","Stalker","Stalker","Stalker","Stalker"
BeyonderCardTraitStalkerState_TooltipTitle,Text,,,,,"Stalker","Stalker","Stalker","Stalker","Stalker","Stalker"
BeyonderCardTraitStalkerState_TooltipText,Text,,,,,"Each turn, this card will be drawn to your hand.","Each turn, this card will be drawn to your hand.","Each turn, this card will be drawn to your hand.","Each turn, this card will be drawn to your hand.","Each turn, this card will be drawn to your hand.","Each turn, this card will be drawn to your hand."
BeyonderCardTraitTherapeutic_CardText,Text,,,,,"Therapeutic","Therapeutic","Therapeutic","Therapeutic","Therapeutic","Therapeutic"
BeyonderCardTraitTherapeutic_TooltipTitle,Text,,,,,"Therapeutic","Therapeutic","Therapeutic","Therapeutic","Therapeutic","Therapeutic"
BeyonderCardTraitTherapeutic_TooltipText,Text,,,,,"Reset <b>Mania</b> to 0 when played. Counts as <b>Manic</b>.","Reset <b>Mania</b> to 0 when played. Counts as <b>Manic</b>.","Reset <b>Mania</b> to 0 when played. Counts as <b>Manic</b>.","Reset <b>Mania</b> to 0 when played. Counts as <b>Manic</b>.","Reset <b>Mania</b> to 0 when played. Counts as <b>Manic</b>.","Reset <b>Mania</b> to 0 when played. Counts as <b>Manic</b>."
,,,,,,,,,,,
,,,,,,,,,,,
StatusEffect_beyonder_mutated_CardText,Text,,,,,"<b>Mutated</b>","<b>Mutated</b>","<b>Mutated</b>","<b>Mutated</b>","<b>Mutated</b>","<b>Mutated</b>"
StatusEffect_beyonder_mutated_CharacterTooltipText,Text,,,,,"This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>."
StatusEffect_beyonder_mutated_CardTooltipText,Text,,,,,"This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>.","This unit cannot be further <b>Mutated</b>."
StatusEffect_beyonder_mutated_NotificationText,Text,,,,,"Mutated","Mutated","Mutated","Mutated","Mutated","Mutated"
StatusEffect_beyonder_mutated_Stack_CardText,Text,,,,,"Mutated","Mutated","Mutated","Mutated","Mutated","Mutated"
StatusEffect_beyonder_formless_CardText,Text,,,,,"<b>Formless</b>","<b>Formless</b>","<b>Formless</b>","<b>Formless</b>","<b>Formless</b>","<b>Formless</b>"
StatusEffect_beyonder_formless_CharacterTooltipText,Text,,,,,"Immune to <b>Panic</b>.","Immune to <b>Panic</b>.","Immune to <b>Panic</b>.","Immune to <b>Panic</b>.","Immune to <b>Panic</b>.","Immune to <b>Panic</b>."
StatusEffect_beyonder_formless_CardTooltipText,Text,,,,,"Immune to <b>Panic</b>.","Immune to <b>Panic</b>.","Immune to <b>Panic</b>.","Immune to <b>Panic</b>.","Immune to <b>Panic</b>.","Immune to <b>Panic</b>."
StatusEffect_beyonder_formless_NotificationText,Text,,,,,"Formless","Formless","Formless","Formless","Formless","Formless"
StatusEffect_beyonder_formless_Stack_CardText,Text,,,,,"Formless","Formless","Formless","Formless","Formless","Formless"
StatusEffect_beyonder_soundless_CardText,Text,,,,,"<b>Soundless</b>","<b>Soundless</b>","<b>Soundless</b>","<b>Soundless</b>","<b>Soundless</b>","<b>Soundless</b>"
StatusEffect_beyonder_soundless_CharacterTooltipText,Text,,,,,"Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>."
StatusEffect_beyonder_soundless_CardTooltipText,Text,,,,,"Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>.","Immune to <b>Neurosis</b>."
StatusEffect_beyonder_soundless_NotificationText,Text,,,,,"Soundless","Soundless","Soundless","Soundless","Soundless","Soundless"
StatusEffect_beyonder_soundless_Stack_CardText,Text,,,,,"Soundless","Soundless","Soundless","Soundless","Soundless","Soundless"
StatusEffect_beyonder_shock_CardText,Text,,,,,"<b>Neurosis</b>","<b>Neurosis</b>","<b>Neurosis</b>","<b>Neurosis</b>","<b>Neurosis</b>","<b>Neurosis</b>"
StatusEffect_beyonder_shock_CharacterTooltipText,Text,,,,,"Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn."
StatusEffect_beyonder_shock_CardTooltipText,Text,,,,,"Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn.","Cannot attack or use <b>Action</b>, <b>Resolve</b>, or <b>Revenge</b> abilities. Decreases when attacked and at the end of the turn."
StatusEffect_beyonder_shock_NotificationText,Text,,,,,"Paralyzed!","Paralyzed!","Paralyzed!","Paralyzed!","Paralyzed!","Paralyzed!"
StatusEffect_beyonder_shock_Stack_CardText,Text,,,,,"<nobr><b>Neurosis {0}</b></nobr>","<nobr><b>Neurosis {0}</b></nobr>","<nobr><b>Neurosis {0}</b></nobr>","<nobr><b>Neurosis {0}</b></nobr>","<nobr><b>Neurosis {0}</b></nobr>","<nobr><b>Neurosis {0}</b></nobr>"
StatusEffect_beyonder_panic_CardText,Text,,,,,"<b>Panic</b>","<b>Panic</b>","<b>Panic</b>","<b>Panic</b>","<b>Panic</b>","<b>Panic</b>"
StatusEffect_beyonder_panic_CharacterTooltipText,Text,,,,,"Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn."
StatusEffect_beyonder_panic_CardTooltipText,Text,,,,,"Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn.","Doubles damage taken. Decreases when attacked and at the end of the turn."
StatusEffect_beyonder_panic_NotificationText,Text,,,,,"Panic","Panic","Panic","Panic","Panic","Panic"
StatusEffect_beyonder_panic_Stack_CardText,Text,,,,,"<nobr><b>Panic {0}</b></nobr>","<nobr><b>Panic {0}</b></nobr>","<nobr><b>Panic {0}</b></nobr>","<nobr><b>Panic {0}</b></nobr>","<nobr><b>Panic {0}</b></nobr>","<nobr><b>Panic {0}</b></nobr>"
StatusEffect_beyonder_jitters_CardText,Text,,,,,"<b>Jitters</b>","<b>Jitters</b>","<b>Jitters</b>","<b>Jitters</b>","<b>Jitters</b>","<b>Jitters</b>"
StatusEffect_beyonder_jitters_CharacterTooltipText,Text,,,,,"Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn."
StatusEffect_beyonder_jitters_CardTooltipText,Text,,,,,"Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn.","Increases damage taken by 1 per stack. Decreases when damaged and at the end of each turn."
StatusEffect_beyonder_jitters_NotificationText,Text,,,,,"Jitters","Jitters","Jitters","Jitters","Jitters","Jitters"
StatusEffect_beyonder_jitters_Stack_CardText,Text,,,,,"<nobr><b>Jitters {0}</b></nobr>","<nobr><b>Jitters {0}</b></nobr>","<nobr><b>Jitters {0}</b></nobr>","<nobr><b>Jitters {0}</b></nobr>","<nobr><b>Jitters {0}</b></nobr>","<nobr><b>Jitters {0}</b></nobr>"
StatusEffect_beyonder_chronic_CardText,Text,,,,,"<b>Chronic</b>","<b>Chronic</b>","<b>Chronic</b>","<b>Chronic</b>","<b>Chronic</b>","<b>Chronic</b>"
StatusEffect_beyonder_chronic_CharacterTooltipText,Text,,,,,"When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>."
StatusEffect_beyonder_chronic_CardTooltipText,Text,,,,,"When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>.","When killed or eaten, this unit gains 3 [health] per stack and is placed on top of your discard pile. Prevents <b>Permadeath</b>."
StatusEffect_beyonder_chronic_NotificationText,Text,,,,,"Chronic! +{0}{1}[health]","Chronic! +{0}{1}[health]","Chronic! +{0}{1}[health]","Chronic! +{0}{1}[health]","Chronic! +{0}{1}[health]","Chronic! +{0}{1}[health]"
StatusEffect_beyonder_chronic_Stack_CardText,Text,,,,,"<nobr><b>Chronic {0}</b></nobr>","<nobr><b>Chronic {0}</b></nobr>","<nobr><b>Chronic {0}</b></nobr>","<nobr><b>Chronic {0}</b></nobr>","<nobr><b>Chronic {0}</b></nobr>","<nobr><b>Chronic {0}</b></nobr>"
,,,,,,,,,,,
,,,,,,,,,,,
CustomCardEffectVanishMonster_CardText,Text,,,,,"Vanish {0}.","Vanish {0}.","Vanish {0}.","Vanish {0}.","Vanish {0}.","Vanish {0}."
CustomCardEffectVanishMonster_Activated,Text,,,,,"",,,,,
,,,,,,,,,,,
Beyonder_Champ_LocoMotive_Name_Key,Text,,,,,"Loco Motive","Loco Motive","Loco Motive","Loco Motive","Loco Motive","Loco Motive"
Beyonder_Champ_LocoMotive_Description_Key,Text,,,,,"","","","","",""
Beyonder_Champ_LocoMotive_Lore_Key,Text,,,,,"Beyonders live in such desolate isolation that even if the veilrich and undretch weren't at each others' throats, they'd still be fighting over mutations and resources simply to survive. It takes quite the visionary, or perhaps thug, to gather them together for any other purpose. But as our veil cracks and weakens from the repeated resets, Loco Motive has seen not just the opportunity to invade our world, but to take up arms and destroy the Last Divinity, in hopes of shattering the veil for good.","Beyonders live in such desolate isolation that even if the veilrich and undretch weren't at each others' throats, they'd still be fighting over mutations and resources simply to survive. It takes quite the visionary, or perhaps thug, to gather them together for any other purpose. But as our veil cracks and weakens from the repeated resets, Loco Motive has seen not just the opportunity to invade our world, but to take up arms and destroy the Last Divinity, in hopes of shattering the veil for good.","Beyonders live in such desolate isolation that even if the veilrich and undretch weren't at each others' throats, they'd still be fighting over mutations and resources simply to survive. It takes quite the visionary, or perhaps thug, to gather them together for any other purpose. But as our veil cracks and weakens from the repeated resets, Loco Motive has seen not just the opportunity to invade our world, but to take up arms and destroy the Last Divinity, in hopes of shattering the veil for good.","Beyonders live in such desolate isolation that even if the veilrich and undretch weren't at each others' throats, they'd still be fighting over mutations and resources simply to survive. It takes quite the visionary, or perhaps thug, to gather them together for any other purpose. But as our veil cracks and weakens from the repeated resets, Loco Motive has seen not just the opportunity to invade our world, but to take up arms and destroy the Last Divinity, in hopes of shattering the veil for good.","Beyonders live in such desolate isolation that even if the veilrich and undretch weren't at each others' throats, they'd still be fighting over mutations and resources simply to survive. It takes quite the visionary, or perhaps thug, to gather them together for any other purpose. But as our veil cracks and weakens from the repeated resets, Loco Motive has seen not just the opportunity to invade our world, but to take up arms and destroy the Last Divinity, in hopes of shattering the veil for good.","Beyonders live in such desolate isolation that even if the veilrich and undretch weren't at each others' throats, they'd still be fighting over mutations and resources simply to survive. It takes quite the visionary, or perhaps thug, to gather them together for any other purpose. But as our veil cracks and weakens from the repeated resets, Loco Motive has seen not just the opportunity to invade our world, but to take up arms and destroy the Last Divinity, in hopes of shattering the veil for good."
Beyonder_Champ_LocoMotive_Mutator_0_TitleKey,Text,,,,,"The Mutator","The Mutator","The Mutator","The Mutator","The Mutator","The Mutator"
Beyonder_Champ_LocoMotive_Mutator_1_TitleKey,Text,,,,,"Mutator II","Mutator II","Mutator II","Mutator II","Mutator II","Mutator II"
Beyonder_Champ_LocoMotive_Mutator_2_TitleKey,Text,,,,,"Mutator III","Mutator III","Mutator III","Mutator III","Mutator III","Mutator III"
Beyonder_Champ_LocoMotive_Mutator_A_0_DescriptionKey,Text,,,,,"Friendly units without <b>Mutated</b> gain <b>Mutated</b> and '<b>Hysteria:</b> +5 [attack] and <b>Jitters 1</b>.",,,,,
Beyonder_Champ_LocoMotive_Mutator_A_1_DescriptionKey,Text,,,,,"Friendly units without <b>Mutated</b> gain <b>Mutated</b> and '<b>Hysteria:</b> +10 [attack] and <b>Jitters 1</b>.",,,,,
Beyonder_Champ_LocoMotive_Mutator_A_2_DescriptionKey,Text,,,,,"Friendly units without <b>Mutated</b> gain <b>Mutated</b> and '<b>Hysteria:</b> +20 [attack] and <b>Jitters 1</b>.",,,,,
Beyonder_Champ_LocoMotive_Mutator_A_AppliedDescriptionKey,Text,,,,,"+[effect0.upgrade.bonusdamage] [attack] and <b>Jitters</b> [effect1.status0.power].",,,,,
